mi_indice,0,1,2,3,4,5,6,7,8,9,mejores_aptitudes
13,-0.08365486297883078,0.035218532245334305,-0.019565335888383065,0.013929682695948548,-0.11197771715783364,0.029889429676911397,-0.05266390484852993,0.017953872334522794,-0.012262497177169034,-0.024554144508024872,0.026096809943488886
24,0.06814101115027754,-0.047920342424959586,-0.017605290691276254,0.044278755563985826,0.09538130638144166,-0.026900606599240012,0.06626574036844934,-0.04077187752761757,-0.06401728643364607,0.04694287550260339,0.031386688182250884
9,-0.1070951898767635,0.011256578857491076,0.06424408038130805,0.02722994931432418,-0.027125089078052125,0.027098639077986923,-0.05589703288145181,-0.005143546325099446,-0.10760654291802013,-0.07152985664399669,0.03778159178741381
7,-0.08581544469955643,-0.036285598164753685,0.03285545287277057,-0.11036055366586783,-0.06311408964967308,-0.04374153026414601,-0.05207427226862443,0.022278116895729554,0.08464679385843962,0.013411882897522542,0.038389580192321165
18,0.04485793863991479,-0.11572053140332159,-0.03269005644119828,0.03955666972252002,-0.06354387129083595,0.032882947789376754,0.08428251707803364,0.05616856512075112,-0.04621297873336577,0.05472464629068542,0.038544834498684205
10,0.14005416125773318,0.11660360052932196,0.003461243803386388,-0.07582622197552415,-0.0164094290888481,-0.04779870817348644,0.012025872876073637,-0.013507845183380655,0.03675138868245525,0.07151154778001814,0.0483187992917452
11,0.018378148365415764,-0.14876939346213292,0.051739452899631,-0.03539575762585527,0.06381721959278905,0.07245478498141743,0.055282957726216234,0.07192420862740473,-0.052529348210032134,-0.04477801619074094,0.04871595315493738
16,0.0686244809237915,-0.0407315708376455,-0.14882978547118625,0.065729923609588,-0.022825695865258844,0.0663990879211267,0.06320273880463011,0.010411510870413018,0.0786738788523439,-0.02571439282237377,0.048722754377482025
27,-0.015417501982664991,-0.02630761214451329,0.029180261731914375,-0.10393925118937664,0.09495685406729848,0.07989482586651314,0.022998619033642406,0.066846230346107,0.1127062002387436,0.06738762698522831,0.05022576760317712
22,-0.06767989055295093,0.11267553963653976,0.01766984241281496,0.10672351544685285,-0.01755177482080878,-0.0355769947381695,0.07297330875053011,0.028193250612231865,0.11943487076193082,0.0099919053324104,0.051036753948008606
25,-0.04511704092851923,-0.024253054724707804,0.026223730656330657,0.10749953079280353,-0.0493188054511598,0.09328727976862766,0.0008457482799041627,0.03251207917348689,0.09030987864493631,0.14172127593828784,0.055300997170369084
26,0.11332160930667243,0.015382170926560995,0.14994096739636903,0.04155962381837322,0.1082873264725259,0.02253253783593892,-0.05788063860583471,0.005149843606267149,0.04491028898191318,-0.026577051606815533,0.055621717632985714
12,0.0951587116701362,-0.08802460736359961,0.04037193866889639,0.036242621738575856,-0.018171148900122776,0.03757650537629849,0.08025591637065183,0.11011678600493492,0.12361794532168037,-0.027974032838632035,0.056119778970612544
2,-0.056535097712295306,-0.07105046946048607,-0.09421985984287407,-0.05048957847179508,-0.14106409304306577,-0.09202724933179102,0.01253559951364468,-0.031388957006801124,-0.04795144357747801,-0.08823801843455566,0.05926675568816532
0,0.02909582318480248,0.01104337983104045,-0.06131702917250162,0.09163158671915562,-0.06148313164721256,-0.016984789512902165,-0.09022132193574173,-0.1675395490963289,-0.04338520738842898,-0.06900638035165309,0.06004685166065949
21,0.09720490420420233,0.139169926054319,-0.1285135558500907,0.00722692186740484,-0.09496802659248887,-0.047685276929662734,0.05675348680071721,-0.04609195419815726,0.02192889992502195,-0.036222895184684606,0.06381623716028151
28,0.035343450970507326,-0.1509907947830612,0.00885096551441125,-0.03097200178220641,0.04716814963146704,0.12649017016822084,-0.05825985903813666,-0.09862832916016215,0.011845195154818529,-0.0855323433253114,0.0638874305005449
20,-0.09278544663418611,-0.16149151975245057,-0.011805537835852697,-0.03725668691797689,0.021768922697084817,-0.07111943653951203,-0.010582999392632741,-0.07793820483817684,0.022804970072918596,0.12829545953476493,0.06491409699865407
29,-0.020200014676405788,-0.07093222802728821,-0.14395099259321179,0.004017534413414708,0.020524920447867745,0.04790500829056912,0.13007412723958353,-0.030598917138198276,-0.07079822829053938,0.11898758416964778,0.06591961921866493
14,0.059072983127453085,-0.1542855525983117,-0.05161734591161518,0.09631655089772001,-0.008833867823402917,-0.08513534864168243,0.06212732976576417,0.09653824634874765,-0.05465008642586204,-0.0787897225592993,0.0689348327002384
6,0.1571317343784262,0.03246905366746748,0.07293516607590354,0.00901693655056611,-0.08141267486187967,0.0775744859543392,-0.005008893190968866,-0.034183462749285944,0.06887582882280649,-0.13866657831693385,0.06895718736404109
3,-0.034018828980250077,0.1279327253137836,-0.06685304040341541,0.012894995094559741,0.08228098661339603,-0.059087384793173305,-0.16146442844187583,-0.06506668909546465,0.08729342953573684,-0.012087289626374328,0.07049183373336933
8,-0.037078893532833994,-0.09650597393238385,0.014035061276743227,-0.06675531928637363,0.15887856679164916,-0.05945210872349676,0.0620227035671569,-0.10740004950274751,-0.1145749791320681,-0.016923978072835466,0.07291388843365951
4,-0.11866185315830509,0.08799440340320352,-0.05120733859233251,0.09410656959440035,0.06868429947185334,-0.047716021921920926,0.006704462585059443,0.1523151314495632,0.0859681129899563,-0.058877409813225645,0.07439815505819744
5,-0.029414669047126724,0.06996976958465342,0.08065602068101253,-0.02174649641065815,0.10961063785669535,0.04164243457086114,0.011478187452140652,0.06912218266594079,0.05796839473250143,0.20244417727298072,0.07574148410074355
23,-0.10994193091519126,-0.09276903155402862,0.021441385888224876,0.07247509489052967,-0.09047062659109414,-0.04092630662262811,-0.10759655173220359,0.1110616501589067,0.029047048469036774,-0.12348278140080043,0.07626902705450725
19,0.10036215558578288,-0.06481652299084581,-0.06131144109059672,-0.0151514797101715,-0.07764111377076681,0.08814693068496707,-0.0698865474214919,-0.047326130797593756,0.14677151126075266,0.13184393078724588,0.07810901877917145
17,-0.172694266115087,0.0113208911893109,0.09696834813103719,-0.046400643647531686,-0.10015879087506883,0.06905612259586322,-0.10042427250579233,-0.013039946115726092,-0.12156304843006732,0.05980889500053405,0.08491763722186109
1,0.022569667049894243,-0.17801835383651413,0.05281171997813139,0.056766427542131945,-0.10852624501842725,0.11077602601438472,0.059202197072144164,0.023784886149815693,-0.14575942529015717,-0.020124686175826315,0.08798213703561054
15,-0.09269655673522562,-0.09695208848543312,-0.13912088091939387,-0.011594666528286002,0.09466466469560925,-0.12085636128884271,0.07392989634788211,-0.010524757740788655,-0.13921704078175426,0.07453414201401797,0.09156219656716119
